위험발생객체,위험발생위치,작업프로세스,인적피해,물적피해,사고원인
철골브라켓,거푸집지지용,인양,충돌,낙하,와이어로프 파단
철골휀스,,설치,협착,전도,중량물 설치방법 미흡
철근,,철근조립,협착,붕괴,자중
철망,,설치,재해자 안구피해,,
카고크레인 버켓,,부착,추락,낙하,지지부재 파단
카고크레인 붐,,이동,협착,전도,붐 삽입하지 않은 상태로 이동
카고크레인 붐,,하역,충돌,전도,턴테이블 파단
카고크레인,작업대,하역,충돌,낙하,탈락
카고크레인,,거치,추락,전도,인양장비 무단변경 시공
카고크레인,,설치,추락,파손,볼트 결함
카고크레인,,인양,추락,전도,중량물 급하강에 의한 충격하중
카고크레인,,인양,충돌,전도,아웃트리거 설치 미흡
칸막이벽,,철거,충돌,낙하,해체방법 미흡
캔틸래버 슬래브,,평탄,추락,붕괴,철골빔 앵커 이탈
케이슨,,철근조립,추락,붕괴,수직철근 분절시공 미실시
크레인,고소,설치,충돌,,
크레인,풀리,하역,충돌,낙하,크레인 와이어 여장 부족
크레인,,인양,추락,충돌,인양 및 선회 작업순서 불량
크레인,,자재이동,추락,전도,지반침하
크레인,,해체,충돌,낙하,와이어로프 파단
클라이밍폼,,인양 및 상승,충돌,탈락,거푸집 긴결재/앵커 해체
클라이밍폼,,타설,충돌,탈락,거푸집 긴결재/앵커위치 및 거푸집의 수직도 및 레벨
타워크레인,,,,전도,돌풍
타워크레인 케이지,고소,연결,추락,낙하,케이지의 유압잭 결함
타워크레인,마스트,운반,추락,전도,앵커볼트 파손
타워크레인,마스트,인양,충돌,전도,앵커볼트 파손
타워크레인,마스트와 턴테이블,고정,추락,전도,설치작업순서 미준수
타워크레인,테레스코픽케이지,분리,충돌,낙하,탈락
타워크레인,,설치,협착,,
타워크레인,,인양,,충돌,작업공간 협소
타워크레인,,인양,비래,,
타워크레인,,인양,충돌,비래,작업신호 불량
타워크레인,,인양,,파손,기계적 결함(러핑브레이크)
타워크레인,,해체,추락,전도,수평붐대 파손
터널,갱구부,하반굴착,,붕괴,터널 관통지점 및 취약지구 지반굴착
터널,상부,,,붕괴,단층파쇄대
터널,상부,,,붕괴,연약단층대
터널,상부,,,붕괴,지하수 유입
터널,상부,발파,,붕괴,석회암 파쇄대
터널,종점부,철근조립,협착,전도,철근자중 및 이상응력
터널,천단부,,,붕괴,단층파쇄대
터널,천단부,,,붕괴,쐐기형 절리
터널,천단부,,,붕괴,풍화암층
터널,천단부,,,붕괴,우수유입
터널,천단부,굴착,,붕괴,불연속면 미립자 유실 및 이완하중 증가
터널,천단부,굴착,,붕괴,풍화토
터널,천단부,락볼트설치,충돌,낙석,부석 미제거
터널,천단부,정리,매몰,낙석,부석 미제거
터널,천단부,정리,매몰,낙하,터널 지보공 및 록볼트 미설치
터널,하부,굴착,,붕괴,석회암 공동
터널,,굴착,매몰,붕괴,가시설 시공상세도 및 구조검토 미흡
터널라이닝용 거푸집,,,매몰,붕괴,정밀측량후 설치 미흡
터널라이닝용 거푸집,,,매몰,붕괴,아치 상부 콘크리트강도 발휘전 해체
터널라이닝용 거푸집,,,매몰,붕괴,터널굴착/콘크리트 타설방법 미고려
터널라이닝용 거푸집,,,매몰,붕괴,유압잭 강성 미확보
테이블폼,,설치,충돌,붕괴,시공상세도면 미준수 및 각부재의 체결강도 미흡
테이블폼,,타설,매몰,붕괴,시공상세도면 미준수 및 각부재의 체결강도 미흡
톤마대쌓기,,,협착,,
트럭크레인,,설치,충돌,파손,턴테이블축 고장력 볼트 결함
