areaCode,areaName,baljuCode,baljuGubun,cnt,dogubCode,dogubGubun,notiDate
39,제주,1,민간(법인),0,1,원도급,20200815
39,제주,2,민간(개인),0,1,원도급,20200815
39,제주,3,전체,0,1,원도급,20200815
39,제주,0,공공,0,2,하도급,20200815
39,제주,1,민간(법인),0,2,하도급,20200815
39,제주,2,민간(개인),1,2,하도급,20200815
39,제주,3,전체,1,2,하도급,20200815
00,전체,0,공공,5,1,원도급,20200816
00,전체,1,민간(법인),1,1,원도급,20200816
00,전체,2,민간(개인),1,1,원도급,20200816
00,전체,3,전체,7,1,원도급,20200816
00,전체,0,공공,0,2,하도급,20200816
00,전체,1,민간(법인),1,2,하도급,20200816
00,전체,2,민간(개인),1,2,하도급,20200816
00,전체,3,전체,2,2,하도급,20200816
11,서울,0,공공,1,1,원도급,20200816
11,서울,1,민간(법인),0,1,원도급,20200816
11,서울,2,민간(개인),0,1,원도급,20200816
11,서울,3,전체,1,1,원도급,20200816
11,서울,0,공공,0,2,하도급,20200816
11,서울,1,민간(법인),1,2,하도급,20200816
11,서울,2,민간(개인),0,2,하도급,20200816
11,서울,3,전체,1,2,하도급,20200816
21,부산,0,공공,1,1,원도급,20200816
21,부산,1,민간(법인),0,1,원도급,20200816
21,부산,2,민간(개인),0,1,원도급,20200816
21,부산,3,전체,1,1,원도급,20200816
21,부산,0,공공,0,2,하도급,20200816
21,부산,1,민간(법인),0,2,하도급,20200816
21,부산,2,민간(개인),0,2,하도급,20200816
21,부산,3,전체,0,2,하도급,20200816
22,대구,0,공공,1,1,원도급,20200816
22,대구,1,민간(법인),0,1,원도급,20200816
22,대구,2,민간(개인),0,1,원도급,20200816
22,대구,3,전체,1,1,원도급,20200816
22,대구,0,공공,0,2,하도급,20200816
22,대구,1,민간(법인),0,2,하도급,20200816
22,대구,2,민간(개인),0,2,하도급,20200816
22,대구,3,전체,0,2,하도급,20200816
23,인천,0,공공,0,1,원도급,20200816
23,인천,1,민간(법인),0,1,원도급,20200816
23,인천,2,민간(개인),0,1,원도급,20200816
23,인천,3,전체,0,1,원도급,20200816
23,인천,0,공공,0,2,하도급,20200816
23,인천,1,민간(법인),0,2,하도급,20200816
23,인천,2,민간(개인),0,2,하도급,20200816
23,인천,3,전체,0,2,하도급,20200816
